Join_Count,TARGET_FID,STATION_ID,STRAHLER_S,LATITUDE,LONGITUDE,FEATUREID,SOURCEFC,AreaSqKM
1,83,0089-05-2006,3.00000000000,39.55170000000,-78.99140000000,14363240,NHDFlowline,3.55230000000
1,84,0090-01-2006,2.00000000000,39.59500000000,-78.95670000000,14363122,NHDFlowline,2.28510000000
1,85,0090-01-2008,1.00000000000,39.56370000000,-78.95820000000,14363478,NHDFlowline,5.38560000000
1,86,0090-02-2006,2.00000000000,39.57720000000,-78.93860000000,14363172,NHDFlowline,2.17350000000
1,87,0090-02-2008,2.00000000000,39.57120000000,-78.93550000000,14363172,NHDFlowline,2.17350000000
1,88,0090-03-2006,1.00000000000,39.57940000000,-78.98780000000,14363188,NHDFlowline,4.11750000000
1,89,0090-03-2008,1.00000000000,39.58880000000,-78.99690000000,14363188,NHDFlowline,4.11750000000
1,90,0090-04-2006,1.00000000000,39.57100000000,-78.96970000000,14363478,NHDFlowline,5.38560000000
1,91,0090-05-2006,3.00000000000,39.57950000000,-78.96720000000,14363170,NHDFlowline,6.26310000000
1,92,0092-01-2006,3.00000000000,39.60380000000,-78.94590000000,14363126,NHDFlowline,1.62900000000
1,93,0092-02-2006,1.00000000000,39.60970000000,-78.95970000000,14363074,NHDFlowline,4.67820000000
1,94,0092-03-2006,1.00000000000,39.62470000000,-78.96500000000,14363072,NHDFlowline,7.55280000000
1,95,0093-01-2006,1.00000000000,39.63900000000,-78.95330000000,14363042,NHDFlowline,8.23500000000
1,96,0093-02-2006,1.00000000000,39.64890000000,-78.96140000000,14363042,NHDFlowline,8.23500000000
1,97,0093-03-2006,1.00000000000,39.62610000000,-78.94220000000,14363042,NHDFlowline,8.23500000000
1,98,0093-04-2006,2.00000000000,39.62720000000,-78.93940000000,14363040,NHDFlowline,2.28420000000
1,99,0094-01-2006,2.00000000000,39.63860000000,-78.93370000000,14363012,NHDFlowline,4.15800000000
1,100,0094-01-2008,2.00000000000,39.63840000000,-78.93330000000,14363040,NHDFlowline,2.28420000000
1,101,0094-02-2006,2.00000000000,39.65000000000,-78.93690000000,14363012,NHDFlowline,4.15800000000
1,102,0094-02-2008,2.00000000000,39.65750000000,-78.93960000000,14363012,NHDFlowline,4.15800000000
1,103,0094-03-2006,2.00000000000,39.65780000000,-78.94000000000,14363012,NHDFlowline,4.15800000000
1,104,0094-03-2008,1.00000000000,39.64730000000,-78.92310000000,14363010,NHDFlowline,4.05900000000
1,105,0099-01-2009,2.00000000000,39.66982500000,-78.91560900000,14362952,NHDFlowline,8.15670000000
1,106,0099-02-2009,2.00000000000,39.67193300000,-78.90746700000,14362952,NHDFlowline,8.15670000000
1,107,0100-01-2009,3.00000000000,39.70008300000,-78.83923500000,14362912,NHDFlowline,5.96880000000
1,108,0100-02-2009,3.00000000000,39.69951600000,-78.83029600000,14362912,NHDFlowline,5.96880000000
1,109,0100-03-2009,3.00000000000,39.69690000000,-78.81321700000,14362912,NHDFlowline,5.96880000000
1,110,0106-01-2009,3.00000000000,39.67996700000,-78.71660000000,14362948,NHDFlowline,10.26270000000
1,111,0106-02-2009,3.00000000000,39.67285000000,-78.72390000000,14362948,NHDFlowline,10.26270000000
1,112,0106-03-2009,3.00000000000,39.66723700000,-78.71915800000,14362948,NHDFlowline,10.26270000000
1,113,0107-02-2009,2.00000000000,39.69936700000,-78.68143300000,14362890,NHDFlowline,4.27680000000
1,114,0129-01-2008,4.00000000000,39.64390000000,-78.56240000000,8431258,NHDFlowline,2.29320000000
1,115,0129-02-2008,4.00000000000,39.65380000000,-78.56640000000,8431232,NHDFlowline,1.97370000000
1,116,0130-01-2008,2.00000000000,39.66310000000,-78.61150000000,8431180,NHDFlowline,0.00900000000
1,117,0130-02-2008,1.00000000000,39.66400000000,-78.61750000000,8431172,NHDFlowline,2.44530000000
1,118,0130-03-2008,1.00000000000,39.65110000000,-78.63830000000,8431230,NHDFlowline,3.27780000000
1,119,0134-01-2009,1.00000000000,39.65563800000,-78.45063000000,8431358,NHDFlowline,16.54110000000
1,120,0134-02-2009,1.00000000000,39.65128200000,-78.45601900000,8431358,NHDFlowline,16.54110000000
1,121,0134-03-2009,0.00000000000,39.60353800000,-78.48459500000,8431358,NHDFlowline,16.54110000000
1,122,0135-01-2009,4.00000000000,39.65665000000,-78.40276700000,8431216,NHDFlowline,3.26160000000
1,123,0135-01-2010,4.00000000000,39.63928500000,-78.39080500000,8431272,NHDFlowline,2.56680000000
1,124,0135-02-2009,4.00000000000,39.65471700000,-78.39638300000,8431250,NHDFlowline,1.65870000000
1,125,0135-02-2010,1.00000000000,39.64063100000,-78.40069900000,8431274,NHDFlowline,4.53420000000
1,126,0135-03-2009,1.00000000000,39.64055000000,-78.39888300000,8431274,NHDFlowline,4.53420000000
1,127,0135-03-2010,4.00000000000,39.65496000000,-78.39669900000,8431250,NHDFlowline,1.65870000000
1,128,0135-91-2010,4.00000000000,39.63919700000,-78.39073200000,8431272,NHDFlowline,2.56680000000
1,129,0135-92-2010,1.00000000000,39.64073700000,-78.40077200000,8431274,NHDFlowline,4.53420000000
1,130,0136-01-2009,2.00000000000,39.65260000000,-78.48053300000,8431220,NHDFlowline,0.04860000000
1,131,0136-02-2009,0.00000000000,39.66166700000,-78.49125000000,8431618,NHDFlowline,1.54800000000
1,132,0136-03-2009,0.00000000000,39.63881700000,-78.50950000000,8431278,NHDFlowline,3.79440000000
1,133,0137-01-2009,3.00000000000,39.69516700000,-78.44950000000,8431092,NHDFlowline,1.21320000000
1,134,0137-01-2010,1.00000000000,39.69400800000,-78.44977800000,8431090,NHDFlowline,3.38850000000
1,135,0137-02-2009,3.00000000000,39.68661100000,-78.45484400000,8431142,NHDFlowline,3.91230000000
1,136,0137-02-2010,3.00000000000,39.68617100000,-78.45488400000,8431142,NHDFlowline,3.91230000000
1,137,0137-03-2010,2.00000000000,39.66524900000,-78.46402100000,8431158,NHDFlowline,0.22140000000
1,138,0137-91-2009,3.00000000000,39.69516700000,-78.44950000000,8431092,NHDFlowline,1.21320000000
1,139,0137-91-2010,1.00000000000,39.69384200000,-78.44936100000,8431090,NHDFlowline,3.38850000000
1,140,0137-92-2009,3.00000000000,39.68661100000,-78.45484400000,8431142,NHDFlowline,3.91230000000
1,141,0137-92-2010,3.00000000000,39.68607400000,-78.45482200000,8431142,NHDFlowline,3.91230000000
1,142,0137-93-2010,2.00000000000,39.66534500000,-78.46412300000,8431158,NHDFlowline,0.22140000000
1,143,0138-01-2009,2.00000000000,39.65396700000,-78.47890000000,8431218,NHDFlowline,1.08810000000
1,144,0138-02-2009,2.00000000000,39.66590000000,-78.49756700000,8431154,NHDFlowline,0.45360000000
1,145,0138-03-2009,1.00000000000,39.66758700000,-78.52864600000,8431616,NHDFlowline,3.27240000000
1,146,0139-01-2006,1.00000000000,39.69280000000,-78.50530000000,8431610,NHDFlowline,5.74830000000
1,147,0139-01-2009,2.00000000000,39.67715000000,-78.47066700000,8431132,NHDFlowline,1.84680000000
1,148,0139-02-2006,1.00000000000,39.68320000000,-78.49470000000,8431610,NHDFlowline,5.74830000000
1,149,0139-02-2009,1.00000000000,39.68010000000,-78.49793300000,8431612,NHDFlowline,3.42000000000
1,150,0139-03-2006,1.00000000000,39.67720000000,-78.51320000000,8431612,NHDFlowline,3.42000000000
1,151,0139-03-2009,1.00000000000,39.68421600000,-78.49556200000,8431610,NHDFlowline,5.74830000000
